Word,Orthography w/ tones,IPA,English,Spanish,Tone Melody,Syllable Structure,Phonation Type,Part of Speech,Semantic Domain,Speaker,Sound File,Notes,Checked?,Need
ko've,ko'vě,[kōˀβě],our sister,nuestra hermana,MR,CV?CV,glottalized,noun,kin terms,NGC,nuestro hermana.wav,,,
ko'vi,ko'vî,[kōˀβî],my sister,mi hermana,MF,CV?CV,glottalized,noun,kin terms,NGC,mi hermana.wav,,,
ko'vun,ko'vǔn,[kōˀβũ̌],your sister,tu hermana,MR,CV?CV,glottalized,noun,kin terms,NGC,tu hermana.wav,,,
ko'yo,kó'yo,[kóˀjo],humid,humedo,HM,CVCV,glottalized,adjective,weather,,humedo.wav,,,
kojmi,kòjmǐ,[kòʰmǐ],four,cuatro,MR,CVhCV,pre-aspirated,noun,numbers,NGC,cuatro.wav,,,Check Duplicate
kojni,kòjnǐ,[kòʰnǐ],four,cuatro,LR,CVhCV,pre-aspirated,noun,numbers,NGC,cuatro.wav,https://www.youtube.com/watch?v=YLSbF1X3mQM,,Check Duplicate
kojnto,kójnto,[kóʰⁿto],very weak,muy débil,H,,pre-aspirated,adjective,states of being,,muydébil.wav,,,
kojo,kòjǒ ,[kòʰǒ],snake,serpiente,LR,CVhV,aspirated,noun,wild animals,NGC,serpiente.wav,,,
kojo tuun,kòjǒ tùún,[kòʰǒ tùṹ],rat snake,culebra ratonera,LR LH,CVhV CVV,aspirated,noun,wild animals,RDC,RDC_CulebraRatonera.wav,serpeinte/culebra negra/ceniza,,
kojvi,kojvǐ,[kōʰβǐ],the sister of a man,la hermana de un hombre,MR,CVhCV,pre-aspirated,noun,kin terms,NGC,hermanadehombre.wav,,,
kojyo,kòjyo,[kòʰjo],fall (pl subj) (cont),caer (pl.) (cont),,CVhCV,,,,,,,,
kokatyi ini,kokátyi ini,[kokát͡ʃi ĩni] ?,in a bad mood,de mal humor,HL,CVCVCV VCV,modal,adjective,states of being,,demalhumor.wav,,,Check Duplicate
kokatyi ini,kòkátyi ini,[kòkát͡ʃi i᷈i],be in a bad mood (continuative),estar de mal humor,LHM MM,CVCVCCV VV,modal,verb (continuative),Actions and activities,,,,,Check Duplicate
kolo,kòlò,[kòlò],turkey,guajolote,LL,CVCV,modal,noun,wild animals,NGC,guajolote.wav,,No,
kona,koná,[koná],open (tr) (pot),abrir (pot),ML,CVCV,modal,verb (potential),Actions and activities,NGC,,,,
kondo nujun,kóndò xìjnǐ,,cheek,mejilla,,CVCV CVhV,aspirated,noun,body parts and the body,NGC,NGC_Mejilla.wav,Said,,Transcription
kondo skuun nta'a,kòndì skǔun nta'ǎ,,wrist bone,hueso de la muñeca,,CVCV CVV CV?V,glottalized,noun,body parts and the body,NGC,NGC_HuesoDeLaMuneca.wav,Said,,"Transcription, Check Duplicate"
kondo xa'a,kóndò xà'ǎ,,ankle bone,hueso del tobillo,,CVCV CV?V,glottalized,noun,body parts and the body,NGC,NGC_HuesoDelTobillo.wav,Said,,"Transcription, Check Duplicate"
kondo xijni,kóndò xìjnǐ,,crown of the head?,corona de cabeza,,CVCV CVhCV,aspirated,noun,body parts and the body,NGC,NGC_CoronaDeCabeza.wav,Said,,Transcription
kondo xitsin,kóndò xitsǐn,,tip of the nose,punta de la nariz,,CVCV CVCV,modal,noun,body parts and the body,NGC,NGC_PuntaDeLaNariz.wav,Said,,Transcription
koni,kònì,[kònì],yesterday,ayer,LL,CVCV,modal,noun,times and seasons,RDC,RDC_Ayer.wav,,,
koni,kǒnì,[kǒnì],like/love (comp),querer / amar,RL,CVCV,,verb (completive),Actions and activities,,,,,Tones
koni,kònì,[kònì],like/love (comp),querer / amar (comp),LL,CVCV,,verb (completive),Actions and activities,,,,,Tones
koni,kónì,[kónì],like /love (cont),querer / amar (cont),HL,CVCV,,verb (continuative),Actions and activities,,,,,
koni,konì,[konì],like/love (pot),querer / amar (pot),ML,CVCV,,verb (potential),Actions and activities,,,,,
koni,konì,[kōnì] ,knows,sabe,ML,CVCV,modal,verb,states of being,,sabe.wav,,,Verb Tense
koni,konì,[konì],know (pot),saber (pot),ML,CVCV,,verb (potential),Actions and activities,,,,,
koni,konì,[kōnì],see (pot),ver (pot) ,ML,CVCV,,verb (potential),Actions and activities,,,,,
koni na nuu,kônì nà ñuu,,they love the town,ellos quieren al pueblo (les gusta/aman),,CVCV CV CVV,modal,,,RDC,RDC_EllosQuierenElPueblo.wav,Said,,Phrase
koni na nuu,kǒnì nà ñuù,,they loved the town,ellos querían al pueblo,,CVCV CV CVV,modal,,,RDC,RDC_EllosQuerianElPueblo.wav,Said,,Phrase
koni na nuun,kònì nàa ñuù,,they will love the town,ellos querrán al pueblo,,CVCV CV CVV,modal,,,RDC,RDC_EllosQuerranElPueblo.wav,Said,,Phrase
konikatyi ini,kòníkatyi ini,[kòníkat͡ʃi i᷈i],be in a bad mood (completive),estar de mal humor,LHMM MM,CVCVCVCCV VV,modal,verb (completive),Actions and activities,,,,,
koño,kòñò,[kòɲò],meat,carne,LL,CVCV,modal,noun,"food, drink, and cooking",NGC,carne.wav,,,
konte,kòntě,[kòⁿtě],our knees,nuestras rodillas,LR,CVCV,modal,noun,body parts and the body,NGC,nuestra rodilla.wav,,,
kontestaa,kontestáà,[kontestáà],to answer,contestar,HL,CVCCVCCVV,modal,verb (completive),Actions and activities,JGO,,,,
konti,kòntì,[kòⁿtì],my knee,mi rodilla,LL,CVCV,modal,noun,body parts and the body,NGC,mi rodilla.wav,,,
konto,kòntò,[kòⁿtò],knee,rodilla,LL,CVCV,modal,noun,body parts and the body,NGC,rodilla.wav,,,
